Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address (Administrative Location),City (Administrative Location),State (Administrative Location),Zip Code (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
8400200098,ALASKA AVIATION HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,,HISTORY MUSEUM,,4721 AIRCRAFT DR,ANCHORAGE,AK,99502,,,Unknown,,9072485325,61.17925,-149.97254,1.0,20.0,2.0,6,920071852,201312.0,602912.0,550236.0
8400200153,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY INC,,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,9711 KENAI SPUR HWY,KENAI,AK,99611,,,Unknown,,9072832000,60.56149,-151.21598,3.0,122.0,2.0,6,921761906,201312.0,740030.0,729080.0
8400200027,ALASKA HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,,HISTORY MUSEUM,,301 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503,,,Unknown,,9072652834,61.17925,-149.97254,1.0,20.0,2.0,6,920071852,201312.0,602912.0,550236.0
8400200078,ALASKA JEWISH MUSEUM,ALASKA JEWISH HISTORICAL MUSEUM AND CULTURAL CENTER,,GENERAL MUSEUM,,1117 E 35TH AVE,ANCHORAGE,AK,99508,1221 E 35TH AVENUE,ANCHORAGE,AK,99508.0,9077707021,61.18946,-149.86071,1.0,20.0,2.0,6,711010049,201312.0,2658938.0,34374.0
8400200107,ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,,GENERAL MUSEUM,,PO BOX 190668,ANCHORAGE,AK,99519,606 W 4TH AVE,ANCHORAGE,AK,99519.0,9072762665,61.21833,-149.89456,1.0,20.0,2.0,6,920095561,201406.0,0.0,0.0
8400200073,ALASKA MINING HALL OF FAME FOUNDATION,ALASKA MINING HALL OF FAME FOUNDATION,,HISTORY MUSEUM,,PO BOX 81906,FAIRBANKS,AK,99708,,,Unknown,,,64.85079,-147.82945,2.0,90.0,2.0,6,550819611,201412.0,184295.0,31393.0
8400200123,ALASKA NATIVE HERITAGE CENTER,ALASKA NATIVE HERITAGE CENTER INC,,GENERAL MUSEUM,,8800 HERITAGE CENTER DRIVE,ANCHORAGE,AK,99504,,,Unknown,,9073308000,61.23361,-149.71566,1.0,20.0,2.0,6,920127531,201403.0,4502727.0,4050394.0
8400200082,ALASKA SPORTS HALL OF FAME,ALASKA SPORTS HALL OF FAME INC,,GENERAL MUSEUM,,6740 SAMUEL CT,ANCHORAGE,AK,99516,14815 ECHO CANYON RD,ANCHORAGE,AK,99516.0,,61.08741,-149.6926,4.0,20.0,2.0,6,810649085,201312.0,1370930.0,615273.0
8400200044,ALASKA STATE MUSEUM,FRIENDS OF THE ALASKA STATE MUSEUM,,GENERAL MUSEUM,,395 WHITTIER ST,JUNEAU,AK,99801,,,Unknown,,9074652901,58.30048,-134.4148,3.0,110.0,2.0,6,237067119,201312.0,182675.0,129192.0
8400200133,ALASKA TERRITORIAL CAVALRY MOTORIZED,ALASKA TERRITORIAL CAVALRY MOTORIZED,ALASKA TERRITORIAL CAVALRY MOTORIZED,GENERAL MUSEUM,,5910 DEBARR ROAD,ANCHORAGE,AK,99516,,,Unknown,,9075625359,61.19007,-149.91195,1.0,20.0,2.0,6,920145434,201412.0,0.0,0.0
8400200026,ALASKA TROOPER MUSEUM,FRATERNAL ORDER OF ALASKA STATE TROOPERS CHARITY CORPORATIO,,GENERAL MUSEUM,,245 W 5TH AVE,ANCHORAGE,AK,99501,,,Unknown,,9072795050,61.21765,-149.88622,1.0,20.0,2.0,6,920091086,201312.0,769702.0,221807.0
8400200031,ALASKA VETERANS MUSEUM,ALASKA VETERANS MUSEUM,,HISTORY MUSEUM,,334 W 4TH AVENUE 227,ANCHORAGE,AK,99501,,,Unknown,,9076778802,61.21406,-149.87855,1.0,20.0,2.0,6,30382080,201412.0,0.0,0.0
8400200025,ALASKALAND PIONEER AIR MUSEUM,ALASKALAND PIONEER AIR MUSEUM,,GENERAL MUSEUM,,AIRPORT WAY,FAIRBANKS,AK,99707,,,Unknown,,9074510037,64.84231,-147.72457,1.0,90.0,2.0,6,,,,Not Reported
8400200135,ALUTIIQ HERITAGE FOUNDATION,ALUTIIQ HERITAGE FOUNDATION,ALUTIIQ MUSEUM ARCHAEOLOGICAL REPOSITORY,GENERAL MUSEUM,,215 MISSION RD STE 101,KODIAK,AK,99615,,,Unknown,,9074867004,57.78869,-152.4025,3.0,150.0,2.0,6,920150422,201312.0,1103875.0,1055839.0
8400200024,AMERICAN TROPHY TAXIDERMY,AMERICAN TROPHY TAXIDERMY,,GENERAL MUSEUM,,41653 STERLING HWY,SOLDOTNA,AK,99669,,,Unknown,,9072627950,60.50184,-150.98965,4.0,122.0,2.0,6,,,,Not Reported
8400200137,ANCHORAGE CLAY ARTS GUILD,ANCHORAGE CLAY ARTS GUILD,,ART MUSEUM,,PO BOX 241151,ANCHORAGE,AK,99524,,,Unknown,,,61.18495,-149.89178,1.0,,2.0,6,920156423,201412.0,0.0,0.0
8400200125,ANCHORAGE MUSEUM,ANCHORAGE MUSEUM FOUNDATION,,GENERAL MUSEUM,,121 WEST SEVENTH AVENUE,ANCHORAGE,AK,99501,625 C STREET,ANCHORAGE,AK,99501.0,9079299200,61.21608,-149.8853,1.0,20.0,2.0,6,920129376,201312.0,6851982.0,4116780.0
8409502704,ARC GALLERY,UNIVERSITY OF ALASKA,,ART MUSEUM,UNIVERSITY OF ALASKA ANCHORAGE,3211 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,,,Unknown,,9077861766,64.81712,-147.87837,2.0,90.0,2.0,6,926000147,201306.0,,Not Reported
8400200168,BUNNELL STREET GALLERY,BUNNELL STREET ARTS CENTER,,ART MUSEUM,,106 W BUNNELL AVE,HOMER,AK,99603,,,Unknown,,9072352662,59.64002,-151.54459,4.0,122.0,2.0,6,943220880,201312.0,335104.0,335104.0
8409502921,CARR-GOTTSTEIN GALLERY,ALASKA PACIFIC UNIVERSITY,,ART MUSEUM,ALASKA PACIFIC UNIVERSITY,4101 UNIVERSITY DRIVE,ANCHORAGE,AK,99508,,,Unknown,,8002527528,61.18889,-149.80347,1.0,20.0,2.0,6,920023588,201306.0,66512448.0,63692296.0
8400200051,CHILDREN'S MUSEUM OF ALASKA,CHILDRENS MUSEUM OF ALASKA,,CHILDREN'S MUSEUM,,PO BOX 112772,ANCHORAGE,AK,99511,,,Unknown,,,61.11024,-149.86107,1.0,20.0,2.0,6,261910346,,,Not Reported
